id_registro,variable,valor
4488,departamento,SACATEPEQUEZ
4489,departamento,SACATEPEQUEZ
4490,departamento,SACATEPEQUEZ
4491,departamento,SACATEPEQUEZ
4492,departamento,SACATEPEQUEZ
4493,departamento,SACATEPEQUEZ
4494,departamento,SACATEPEQUEZ
4495,departamento,SACATEPEQUEZ
4496,departamento,SACATEPEQUEZ
4497,departamento,SACATEPEQUEZ
4498,departamento,SACATEPEQUEZ
4499,departamento,SACATEPEQUEZ
4500,departamento,SACATEPEQUEZ
4501,departamento,SACATEPEQUEZ
4502,departamento,SACATEPEQUEZ
4503,departamento,SACATEPEQUEZ
4504,departamento,SACATEPEQUEZ
4505,departamento,SACATEPEQUEZ
4506,departamento,SACATEPEQUEZ
4507,departamento,SACATEPEQUEZ
4508,departamento,SACATEPEQUEZ
4509,departamento,SACATEPEQUEZ
4510,departamento,SACATEPEQUEZ
4511,departamento,SACATEPEQUEZ
4512,departamento,SACATEPEQUEZ
4513,departamento,SACATEPEQUEZ
4514,departamento,SACATEPEQUEZ
4515,departamento,SACATEPEQUEZ
4516,departamento,SACATEPEQUEZ
4517,departamento,SACATEPEQUEZ
4518,departamento,SACATEPEQUEZ
4519,departamento,SACATEPEQUEZ
4520,departamento,SACATEPEQUEZ
4521,departamento,SACATEPEQUEZ
4522,departamento,SACATEPEQUEZ
4523,departamento,SACATEPEQUEZ
4524,departamento,SACATEPEQUEZ
4525,departamento,SACATEPEQUEZ
4526,departamento,SACATEPEQUEZ
4527,departamento,SACATEPEQUEZ
4528,departamento,SACATEPEQUEZ
4529,departamento,SACATEPEQUEZ
4530,departamento,SACATEPEQUEZ
4531,departamento,SACATEPEQUEZ
4532,departamento,SACATEPEQUEZ
4533,departamento,SACATEPEQUEZ
4534,departamento,SACATEPEQUEZ
4535,departamento,SACATEPEQUEZ
4536,departamento,SACATEPEQUEZ
4537,departamento,SACATEPEQUEZ
4538,departamento,SACATEPEQUEZ
4539,departamento,SACATEPEQUEZ
4540,departamento,SACATEPEQUEZ
4541,departamento,SACATEPEQUEZ
4542,departamento,SACATEPEQUEZ
4543,departamento,SACATEPEQUEZ
4544,departamento,SACATEPEQUEZ
4545,departamento,SACATEPEQUEZ
4546,departamento,SACATEPEQUEZ
4547,departamento,SACATEPEQUEZ
4548,departamento,SACATEPEQUEZ
4549,departamento,SACATEPEQUEZ
4550,departamento,SACATEPEQUEZ
4551,departamento,SACATEPEQUEZ
4552,departamento,SACATEPEQUEZ
4553,departamento,SACATEPEQUEZ
4554,departamento,SACATEPEQUEZ
4555,departamento,SACATEPEQUEZ
4556,departamento,SACATEPEQUEZ
4557,departamento,SACATEPEQUEZ
4558,departamento,SACATEPEQUEZ
4559,departamento,SACATEPEQUEZ
4560,departamento,SACATEPEQUEZ
4561,departamento,SACATEPEQUEZ
4562,departamento,SACATEPEQUEZ
4563,departamento,SACATEPEQUEZ
4564,departamento,SACATEPEQUEZ
4565,departamento,SACATEPEQUEZ
4566,departamento,SACATEPEQUEZ
4567,departamento,SACATEPEQUEZ
4568,departamento,SACATEPEQUEZ
4569,departamento,SACATEPEQUEZ
4570,departamento,SACATEPEQUEZ
4571,departamento,SACATEPEQUEZ
4572,departamento,SACATEPEQUEZ
4573,departamento,SACATEPEQUEZ
4574,departamento,SACATEPEQUEZ
4575,departamento,SACATEPEQUEZ
4576,departamento,SACATEPEQUEZ
4577,departamento,SACATEPEQUEZ
4578,departamento,SACATEPEQUEZ
4579,departamento,SACATEPEQUEZ
4580,departamento,SACATEPEQUEZ
4581,departamento,SACATEPEQUEZ
4582,departamento,SACATEPEQUEZ
4583,departamento,SACATEPEQUEZ
4584,departamento,SACATEPEQUEZ
4585,departamento,SACATEPEQUEZ
4586,departamento,SACATEPEQUEZ
4587,departamento,SACATEPEQUEZ
4588,departamento,SACATEPEQUEZ
4589,departamento,SACATEPEQUEZ
4590,departamento,SACATEPEQUEZ
4591,departamento,SACATEPEQUEZ
4592,departamento,SACATEPEQUEZ
4593,departamento,SACATEPEQUEZ
4594,departamento,SACATEPEQUEZ
4595,departamento,SACATEPEQUEZ
4596,departamento,SACATEPEQUEZ
4597,departamento,SACATEPEQUEZ
4598,departamento,SACATEPEQUEZ
4599,departamento,SACATEPEQUEZ
4600,departamento,SACATEPEQUEZ
4601,departamento,SACATEPEQUEZ
4602,departamento,SACATEPEQUEZ
4603,departamento,SACATEPEQUEZ
4604,departamento,SACATEPEQUEZ
4605,departamento,SACATEPEQUEZ
4606,departamento,SACATEPEQUEZ
4607,departamento,SACATEPEQUEZ
4608,departamento,SACATEPEQUEZ
4609,departamento,SACATEPEQUEZ
4610,departamento,SACATEPEQUEZ
4611,departamento,SACATEPEQUEZ
4612,departamento,SACATEPEQUEZ
4613,departamento,SACATEPEQUEZ
4614,departamento,SACATEPEQUEZ
4615,departamento,SACATEPEQUEZ
4616,departamento,SACATEPEQUEZ
4617,departamento,SACATEPEQUEZ
4618,departamento,SACATEPEQUEZ
4619,departamento,SACATEPEQUEZ
4620,departamento,SACATEPEQUEZ
4621,departamento,SACATEPEQUEZ
4622,departamento,SACATEPEQUEZ
4623,departamento,SACATEPEQUEZ
4624,departamento,SACATEPEQUEZ
4625,departamento,SACATEPEQUEZ
4626,departamento,SACATEPEQUEZ
4627,departamento,SACATEPEQUEZ
4628,departamento,SACATEPEQUEZ
4629,departamento,SACATEPEQUEZ
4630,departamento,SACATEPEQUEZ
4631,departamento,SACATEPEQUEZ
4632,departamento,SACATEPEQUEZ
4633,departamento,SACATEPEQUEZ
