id_registro_a,id_registro_b,codigo_a,codigo_b,establecimiento_a,establecimiento_b,jornada_a,jornada_b,plan_a,plan_b,score,decision
7344,7457,11-01-0155-46,11-01-0474-46,COLEGIO EVANGELICO MIXTO SINAI,COLEGIO EVANGÉLICO MIXTO SINAÍ,DOBLE,SIN JORNADA,DIARIO(REGULAR),SEMIPRESENCIAL (FIN DE SEMANA),93.3,
7720,7752,12-01-0149-46,12-01-1048-46,ESCUELA TÉCNICA DE COMPUTACIÓN,ESCUELA TECNICA DE COMPUTACION,DOBLE,MATUTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.3,
263,750,00-01-0587-46,00-01-8845-46,"CENTRO EDUCATIVO ""MONTENEVADO""",CENTRO EDUCATIVO 'MONTENEVADO',VESPERTINA,VESPERTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.3,
1675,1696,00-12-0158-46,00-12-2790-46,"COLEGIO MIXTO ""CIENCIA Y ARTE""",COLEGIO MIXTO 'CIENCIA Y ARTE',SIN JORNADA,INTERMEDIA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),DIARIO(REGULAR),93.3,
5905,5908,06-08-0043-46,06-08-0061-46,INSTITUTO MIXTO DE DIVERSIFICADO POR COOPERATIVA,INSTITUTO POR COOPERATIVA DE DIVERSIFICADO,VESPERTINA,VESPERTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.3,
7652,7660,11-08-0063-46,11-08-0079-46,COLEGIO GENESIS,COLEGIO GÉNESIS,DOBLE,SIN JORNADA,FIN DE SEMANA,SEMIPRESENCIAL (FIN DE SEMANA),93.3,
7651,7660,11-08-0061-46,11-08-0079-46,COLEGIO GENESIS,COLEGIO GÉNESIS,DOBLE,SIN JORNADA,FIN DE SEMANA,SEMIPRESENCIAL (FIN DE SEMANA),93.3,
5935,5944,06-08-1156-46,06-08-1800-46,"COLEGIO PARTICULAR MIXTO ""CENTRO INTEGRAL SISTEMÁTICO CIS""",COLEGIO PARTICULAR MIXTO 'CENTRO INTEGRAL SISTEMATICO -CIS-',VESPERTINA,DOBLE,DIARIO(REGULAR),FIN DE SEMANA,93.2,
693,694,00-01-8373-46,00-01-8374-46,INSTITUTO PROFESIONAL EN COMPUTACION EL AMIGO DE LA PATRIA,INSTITUTO PROFESIONAL EN COMPUTACION 'EL AMIGO DE LA PATRIA',MATUTINA,VESPERTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.2,
3501,3509,01-15-0488-46,01-15-0516-46,COLEGIO TECNOLOGICO CEDROS DEL LÍBANO,COLEGIO TECNOLÓGICO CEDROS DE LIBANO,VESPERTINA,MATUTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.2,
